Término;Frec;N. Pal
acuerdo;16;1
adelante;10;1
además;12;1
Andalucía;15;1
antes;11;1
año;17;1
años;23;1
artículo;15;1
ayuntamiento;12;1
Barcelona;11;1
caso;11;1
catalán;14;1
Cataluña;38;1
central;14;1
ciudadanos;43;1
Congreso;13;1
Consejo;10;1
Constitución;28;1
derecha;12;1
día;16;1
días;17;1
donde;14;1
Ejecutivo;14;1
elecciones;17;1
Enrique;11;1
eslovena;10;1
España;21;1
Europa;18;1
euros;12;1
General;11;1
Generalitat;17;1
Gobierno;47;1
guerra;16;1
hace;21;1
historia;25;1
idea;10;1
importante;10;1
independencia;12;1
ley;13;1
Madrid;11;1
mayoría;10;1
mientras;11;1
Ministros;10;1
momento;16;1
Mossos;20;1
muchos;11;1
mujeres;11;1
nacional;16;1
octubre;13;1
operación;11;1
otros;15;1
país;13;1
Parlamento;10;1
parte;18;1
partido;13;1
partidos;18;1
pasado;19;1
Pedro;14;1
policía;18;1
política;31;1
políticos;11;1
portavoz;10;1
presidente;15;1
primera;10;1
propuesta;11;1
PSOE;17;1
Quim;12;1
Rivera;11;1
Sánchez;16;1
seguridad;14;1
semana;14;1
situación;12;1
Solo;15;1
tanto;18;1
toda;11;1
todas;10;1
todo;34;1
todos;11;1
Torra;24;1
vía;19;1
Vox;18;1
EH Bildu;5;2
elecciones andaluzas;5;2
extrema derecha;6;2
Gobierno central;5;2
Pedro Sánchez;13;2
Policía Nacional;7;2
Quim Torra;12;2
Reino Unido;8;2
vía eslovena;8;2
Consejo de Ministros;8;3
fin de semana;5;3
PP y Ciudadanos;11;3
