Término;Frec;N. Pal
Además;18;1
afirma;11;1
antes;14;1
años;34;1
asteroide;13;1
aterrizaje;11;1
Bennu;13;1
Ciencia;10;1
científicos;20;1
Clarke;10;1
diferentes;10;1
donde;12;1
embargo;12;1
Espacial;16;1
espacio;22;1
estudio;15;1
Foot;10;1
forma;19;1
gran;13;1
hace;23;1
hecho;22;1
Historia;14;1
incluso;12;1
InSight;16;1
investigadores;18;1
kilómetros;18;1
Little;10;1
Marte;18;1
masa;11;1
materia;15;1
mayor;12;1
misión;16;1
mismo;12;1
momento;15;1
NASA;17;1
nave;11;1
nueva;10;1
número;10;1
pasado;10;1
planeta;16;1
primera;11;1
problema;11;1
región;11;1
Sistema;14;1
Solar;18;1
solo;21;1
sonda;18;1
superficie;20;1
tiempo;16;1
Tierra;27;1
todo;12;1
todos;14;1
vez;14;1
vida;19;1
viento;11;1
Voyager;14;1
Estación Espacial;5;2
Fox News;6;2
Little Foot;10;2
Sistema Solar;11;2
viento solar;5;2
