Término;Frec;N. Pal
Alonso;10;1
año;18;1
años;18;1
Barcelona;12;1
campeón;15;1
club;17;1
Clubes;10;1
Copa;16;1
Davis;13;1
donde;10;1
equipo;25;1
final;16;1
gran;19;1
hace;11;1
jugador;12;1
jugadores;17;1
Liga;10;1
llegó;10;1
Madrid;42;1
Márquez;10;1
mejores;11;1
mientras;10;1
minutos;13;1
momento;11;1
MotoGP;12;1
Mundial;27;1
mundo;26;1
nueva;10;1
nuevo;19;1
partido;16;1
piloto;10;1
primer;12;1
primera;14;1
puntos;12;1
Real;27;1
sólo;13;1
temporada;16;1
todo;14;1
último;11;1
vez;13;1
victoria;12;1
Copa Davis;12;2
Fernando Alonso;5;2
Gran Premio;6;2
nueva Copa;6;2
nuevo formato;6;2
Real Madrid;26;2
campeón del mundo;6;3
Mundial de Clubes;9;3
nueva Copa Davis;5;3
